userId,username,password,email,nickname,userRole,phoneNumber
e58b6dd8-4a2d-437d-9a9f-4a4396c69b87,user1,$2a$10$shHXMiwz7EYYDHH5CHpD3Od5Hm3XJ4y2DmLgu1wu/u69eD1YuZl/e,user1@example.com,User1,USER,010-0000-0001
3e8eaaba-d945-4ef0-88e9-ef8e6facf7ce,user2,$2a$10$1aHpPKaOyzKbDqTJDk6Wn.ZiJwMVLhk2kghRqYCKvfRW7.Wy84Tli,user2@example.com,User2,USER,010-0000-0002
abd3f1c0-c01d-42b5-9dbe-b587119cea6b,user3,$2a$10$uMylBFl9w84E5gxPJ8hMn.OAUZwUJ6aBMAsfoRC8XFPJfaM174vDC,user3@example.com,User3,USER,010-0000-0003
b39116e7-33f3-4b1f-b7c7-b2e647362a08,user4,$2a$10$EPZrnsCTmICDhxh188F6EuEWrLuzvayy.S2eHcXCyNFC9.zk.HfhK,user4@example.com,User4,USER,010-0000-0004
ebe59864-420b-466a-bae6-d5c7168fb7a8,user5,$2a$10$GDEe8OAtE5EfMygW7h5n5edOJoWqR4MOWdeXBzALQu7lEkO9wPoBC,user5@example.com,User5,USER,010-0000-0005
c2f9f343-f048-41f3-a76e-4b36c93f38df,user6,$2a$10$s76oL1/xpZehe9llHvDy/..tgggoiJhKb7ux7b5rjafEbC3rqHrk6,user6@example.com,User6,USER,010-0000-0006
4a4ec24f-66f8-4950-ab80-c69b652a3538,user7,$2a$10$U39Kbl34K2p3/9gzrkWL2.WOE3KAJR2HCCnPxHzjilLJEnuTdiaTS,user7@example.com,User7,USER,010-0000-0007
f41c28b4-581c-495c-9881-73287e57d64d,user8,$2a$10$l40LZ6kGjmbbRmrgFHJ2MuwlERc9w9vMMDL/v.mdz.6FMmOvYMQWa,user8@example.com,User8,USER,010-0000-0008
9cae5b49-d839-48c9-b95b-e54f4bf85e45,user9,$2a$10$PBxwpAXMPP.FlcnV1oChi.Tc3WDoYQ4WUNBpMV7ffdTaGr8VRrfwG,user9@example.com,User9,USER,010-0000-0009
edb00d10-1ebe-4d1d-a3fa-b40d539bd1e6,user10,$2a$10$uWmkONX3.JqeWnF/gLvvWuA1azvU5sDfQTpc9PFZCW5pu21FQtdM.,user10@example.com,User10,USER,010-0000-00010
115bb168-60de-476b-b059-4d31901eface,user11,$2a$10$rJnGbqZNOYnqtRikUBNnGedUqyBEalIZNHMYTHjqW2Lz1IgyynwL6,user11@example.com,User11,USER,010-0000-00011
174d5d2d-6d35-4f8a-9951-eec01e6f6948,user12,$2a$10$B9ktBhvsdf4HQSDFx0ra1.XghUqd0B7um022ANElC88X5aya.wn2G,user12@example.com,User12,USER,010-0000-00012
e8d28c72-aac6-4ac7-9944-be835b38f459,user13,$2a$10$OpWNqKLpJ94ctZXobAABCeomTJvOyLcr2fWQZVz7YVw8qGnHAg9oK,user13@example.com,User13,USER,010-0000-00013
ad96465c-45f1-447b-8b29-41c9da8e3476,user14,$2a$10$SrZPoEToor67UCSJtBdSKugyLAbuAs9P0qySoAeLhulquKxhDoatO,user14@example.com,User14,USER,010-0000-00014
2e837eb7-6ba6-45fd-b9f5-cf04f3e7699a,user15,$2a$10$yFfHADsXNOeWVdD3KssdeuGKJdwv8cmTPghUwW7HX5oOOgjtcS.b2,user15@example.com,User15,USER,010-0000-00015
a330bf04-faae-4ce8-9765-ccf0f48ea805,user16,$2a$10$bKVoIJB5KhD8zCd4vWorMuLW3F5WvvMSNwOjw5Pa25AAU9qZJAPlq,user16@example.com,User16,USER,010-0000-00016
7a3abb19-e469-467a-b5a7-44fdf6545703,user17,$2a$10$lyXVK4tcCV4Z4cJyqlkj2u0ziXCsiJG2Rw4D/Zpy6Xe.nELQwaeA.,user17@example.com,User17,USER,010-0000-00017
c1c9babb-f45b-4af8-a853-19da2af11ba1,user18,$2a$10$MzW22nOvbKhvK28s17i5I.1.IBF88Jiy5Uz/wCdVcVECKpjGIVh2u,user18@example.com,User18,USER,010-0000-00018
d30c3b40-d206-4e5f-be16-0687f8a43908,user19,$2a$10$u7w5OfaO6jUKOPMP1N3MmemBxwne4crmB/VoUo5Gla8DrR2k8B56.,user19@example.com,User19,USER,010-0000-00019
992a6c02-2640-4e87-bd7e-3885fc23917a,user20,$2a$10$jAs1DHrO4MdCqi3IwsP2JOz2lugV2XzZeVQcxxPgchBNeEhOJDMlW,user20@example.com,User20,USER,010-0000-00020
af23512c-b91d-4667-b03e-d488c92d9d83,user21,$2a$10$narekWapk/TvUZvmaKoDZOXE.Bg3Yfzffw2jT3q5BcUYVoX0jIeay,user21@example.com,User21,USER,010-0000-00021
e098a728-7178-4f33-9fa6-889ce2ea501f,user22,$2a$10$WfNBm5ayeECKc.M9LAdB5umk7enGmsEEXd/ODAl/2PItS0DtYUJce,user22@example.com,User22,USER,010-0000-00022
